SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,12 Arnold St,Arlington,MA,02476,679000,3,1.5,Arlington,1350,4620,1921,55,503,,Active,,,http://www.redfin.com/MA/Arlington/12-Arnold-St-02476/home/11351991,MLS PIN,72295852,N,Y,42.4242105,-71.190965
MLS Listing,,Single Family Residential,98 Hathaway Cir,Arlington,MA,02476,974999,5,2.5,Arlington,4000,13020,1959,55,244,,Active,,,http://www.redfin.com/MA/Arlington/98-Hathaway-Cir-02476/home/11352025,MLS PIN,72295611,N,Y,42.4145767,-71.1904776
MLS Listing,,Condo/Co-op,34 Russell Pl #34,Arlington,MA,02476,489000,1,2.5,Arlington,1272,,2003,4,384,236,Active,,,http://www.redfin.com/MA/Arlington/34-Russell-Pl-02476/unit-34/home/145605285,MLS PIN,72324916,N,Y,42.4177054,-71.1546149
MLS Listing,,Single Family Residential,20 Lorraine Ter,Arlington,MA,02474,629000,3,1,Arlington,1586,6388,1953,4,397,,Active,,,http://www.redfin.com/MA/Arlington/20-Lorraine-Ter-02474/home/8441311,MLS PIN,72324907,N,Y,42.4340791,-71.1741633
MLS Listing,,Townhouse,6 Magnolia St #2,Arlington,MA,02474,649999,3,2,East Arlington,1479,,1928,4,439,150,Active,,,http://www.redfin.com/MA/Arlington/6-Magnolia-St-02474/unit-2/home/137135322,MLS PIN,72324540,N,Y,42.402924,-71.1393897
MLS Listing,,Condo/Co-op,11 Marion Rd #2,Arlington,MA,02474,795000,3,2.5,Arlington,1809,,1940,4,439,207,Active,,,http://www.redfin.com/MA/Arlington/11-Marion-Rd-02474/unit-2/home/12099100,MLS PIN,72324245,N,Y,42.4083665,-71.1465923
MLS Listing,,Condo/Co-op,128 Madison Ave #128,Arlington,MA,02474,524900,3,1,Arlington Heights,1026,6000,1968,5,512,,Active,,,http://www.redfin.com/MA/Arlington/128-Madison-Ave-02474/unit-128/home/145591838,MLS PIN,72323703,N,Y,42.4316097,-71.1844645
MLS Listing,,Single Family Residential,50 Fairview Ave,Arlington,MA,02474,1795000,4,3,Arlington,2900,10147,1925,5,619,,Active,,,http://www.redfin.com/MA/Arlington/50-Fairview-Ave-02474/home/8425159,MLS PIN,72323633,N,Y,42.4239452,-71.1496558
MLS Listing,,Condo/Co-op,38 Beacon St #2,Arlington,MA,02474,479000,2,1,Arlington,836,,1900,6,573,156,Active,May-19-2018 12:00 PM,May-19-2018 02:00 PM,http://www.redfin.com/MA/Arlington/38-Beacon-St-02474/unit-2/home/8469088,MLS PIN,72323109,N,Y,42.4150451,-71.1440189
MLS Listing,,Multi-Family (2-4 Unit),52-54 Westminster,Arlington,MA,02474,899000,3,3,Arlington Heights,1823,7133,1848,9,493,,Active,,,http://www.redfin.com/MA/Arlington/52-Westminster-Ave-02474/home/21993876,MLS PIN,72321462,N,Y,42.4270449,-71.1841609
MLS Listing,,Single Family Residential,45 Upland Rd W,Arlington,MA,02474,1199000,4,2.5,Morningside,3340,16930,1940,10,359,,Active,,,http://www.redfin.com/MA/Arlington/45-Upland-Rd-W-02474/home/8434681,MLS PIN,72320976,N,Y,42.4276858,-71.157918
MLS Listing,,Single Family Residential,79 Dothan St,Arlington,MA,02474,1199000,4,3.5,Arlington,3308,9600,2018,10,362,,Active,,,http://www.redfin.com/MA/Arlington/79-Dothan-St-02474/home/8440563,MLS PIN,72320855,N,Y,42.4354714,-71.1784334
MLS Listing,,Multi-Family (2-4 Unit),66-68 Summit St,Arlington,MA,02474,799000,5,3,Arlington,2152,7865,1961,18,371,,Active,,,http://www.redfin.com/MA/Arlington/68-Summit-St-02474/home/145508330,MLS PIN,72315632,N,Y,42.4293806,-71.1804186
MLS Listing,,Single Family Residential,271 Lake St,Arlington,MA,02474,615000,3,1.5,Arlington,1296,8197,1939,26,475,,Active,,,http://www.redfin.com/MA/Arlington/271-Lake-St-02474/home/8406968,MLS PIN,72310601,N,Y,42.4031391,-71.1586142
MLS Listing,,Single Family Residential,5 Old Middlesex Path,Arlington,MA,02474,895000,3,2.5,Arlington,2184,16070,1958,27,410,,Active,,,http://www.redfin.com/MA/Arlington/5-Old-Middlesex-Path-02474/home/8437248,MLS PIN,72310330,N,Y,42.4343621,-71.1646947
MLS Listing,,Multi-Family (2-4 Unit),58-60 Exeter St,Arlington,MA,02474,650000,4,2,Arlington,2416,5760,1929,34,269,,Active,,,http://www.redfin.com/MA/Arlington/58-60-Exeter-St-02474/home/23456239,MLS PIN,72306241,N,Y,42.414971,-71.14227
MLS Listing,,Single Family Residential,51 Crosby St,Arlington,MA,02474,1399900,5,4,Arlington,3142,26329,1962,53,446,,Active,,,http://www.redfin.com/MA/Arlington/51-Crosby-St-02474/home/8427295,MLS PIN,72297014,N,Y,42.426201,-71.1548545
MLS Listing,,Single Family Residential,3 Sheridan St,Lexington,MA,02420,920000,4,3,Lexington,2484,5000,1890,5,370,,Active,,,http://www.redfin.com/MA/Lexington/3-Sheridan-St-02420/home/8565078,MLS PIN,72325061,N,Y,42.4481134,-71.2223848
MLS Listing,,Single Family Residential,41 Baker Ave,Lexington,MA,02421,739000,3,2,Liberty Heights,1308,5227,1905,5,565,,Active,,,http://www.redfin.com/MA/Lexington/41-Baker-Ave-02421/home/8546743,MLS PIN,72324690,N,Y,42.4232096,-71.2001545
MLS Listing,,Single Family Residential,3 Fox Run Ln,Lexington,MA,02420,2200000,6,6,Lexington,6400,30056,1999,6,344,,Active,,,http://www.redfin.com/MA/Lexington/3-Fox-Run-Ln-02420/home/8587779,MLS PIN,72324120,N,Y,42.4599371,-71.2030088
MLS Listing,,Single Family Residential,8 Birch Hill Ln,Lexington,MA,02421,1048000,4,2.5,Lexington,2336,16117,1968,6,449,,Active,,,http://www.redfin.com/MA/Lexington/8-Birch-Hill-Ln-02421/home/8562956,MLS PIN,72323968,N,Y,42.4390832,-71.2560296
MLS Listing,,Single Family Residential,50 Robbins Rd,Lexington,MA,02421,1228000,4,3,Follen Hill,2630,21780,1953,6,467,,Active,,,http://www.redfin.com/MA/Lexington/50-Robbins-Rd-02421/home/8550427,MLS PIN,72323597,N,Y,42.4327675,-71.2136599
MLS Listing,,Single Family Residential,17 Clelland Rd,Lexington,MA,02421,998000,4,3.5,Lexington,2864,4800,2008,6,348,,Active,,,http://www.redfin.com/MA/Lexington/17-Clelland-Rd-02421/home/8546340,MLS PIN,72323528,N,Y,42.4261655,-71.1989942
MLS Listing,,Single Family Residential,15 Brandon St,Lexington,MA,02420,739000,4,2,Lexington,1426,4792,1936,6,518,,Active,,,http://www.redfin.com/MA/Lexington/15-Brandon-St-02420/home/8549550,MLS PIN,72323417,N,Y,42.4280243,-71.1979267
MLS Listing,,Single Family Residential,4 WARD St,Lexington,MA,02421,1178000,5,3,Lexington,3086,7841,1920,7,382,,Active,,,http://www.redfin.com/MA/Lexington/4-Ward-St-02421/home/8579521,MLS PIN,72323108,N,Y,42.4611384,-71.2456812
MLS Listing,,Single Family Residential,43 Peacock Farm Rd,Lexington,MA,02421,1586000,4,3.5,Peacock Farm Community,3844,18549,1957,7,413,40,Active,,,http://www.redfin.com/MA/Lexington/43-Peacock-Farm-Rd-02421/home/8542573,MLS PIN,72322774,N,Y,42.4196791,-71.2009899
MLS Listing,,Condo/Co-op,46 Potter Pond #46,Lexington,MA,02421,675000,2,2.5,Lexington,1868,436,1981,11,361,818,Active,,,http://www.redfin.com/MA/Lexington/46-Potter-Pond-02421/unit-46/home/113246726,MLS PIN,72321138,N,Y,42.4112419,-71.2184069
MLS Listing,,Single Family Residential,3 Burroughs Rd,Lexington,MA,02420,2750000,5,6,Lexington,7771,36154,2003,12,354,,Active,,,http://www.redfin.com/MA/Lexington/3-Burroughs-Rd-02420/home/8574035,MLS PIN,72320584,N,Y,42.4589918,-71.2079283
MLS Listing,,Single Family Residential,24 Eldred St,Lexington,MA,02420,1315000,6,4,Estabrook School,3772,44867,1960,12,349,,Active,,,http://www.redfin.com/MA/Lexington/24-Eldred-St-02420/home/8583916,MLS PIN,72320112,N,Y,42.4747042,-71.2464469
MLS Listing,,Single Family Residential,47 Cary Ave,Lexington,MA,02421,1599000,5,3.5,Lexington,4461,20037,2001,12,358,,Active,,,http://www.redfin.com/MA/Lexington/47-Cary-Ave-02421/home/8556904,MLS PIN,72320080,N,Y,42.4341094,-71.2507394
MLS Listing,,Single Family Residential,33 Adams St,Lexington,MA,02420,1850000,4,4.5,Merriam Hill,4946,14810,1925,12,374,,Active,,,http://www.redfin.com/MA/Lexington/33-Adams-St-02420/home/8575018,MLS PIN,72320009,N,Y,42.4585712,-71.2234986
MLS Listing,,Single Family Residential,16 Grapevine Ave,Lexington,MA,02421,649950,4,2,Lexington,1080,33106,1967,12,602,,Active,,,http://www.redfin.com/MA/Lexington/16-Grapevine-Ave-02421/home/8555446,MLS PIN,72319997,N,Y,42.4367822,-71.2334299
MLS Listing,,Single Family Residential,5 Pinewood St,Lexington,MA,02421,3988000,5,6.5,Follen Hill,7076,30986,2004,13,564,,Active,,,http://www.redfin.com/MA/Lexington/5-Pinewood-St-02421/home/8550223,MLS PIN,72319127,N,Y,42.4286083,-71.2115483
MLS Listing,,Single Family Residential,10 DOVER Ln,Lexington,MA,02421,1350000,4,2.5,GREYSTONE,4002,45682,1987,14,337,,Active,,,http://www.redfin.com/MA/Lexington/10-Dover-Ln-02421/home/8543317,MLS PIN,72318366,N,Y,42.4208571,-71.2139616
MLS Listing,,Townhouse,45 Courtyard Pl #45,Lexington,MA,02420,959000,3,2.5,Lexington,2450,,2010,19,391,347,Active,,,http://www.redfin.com/MA/Lexington/45-Courtyard-Pl-02420/unit-45/home/131896886,MLS PIN,72316036,N,Y,42.4593595,-71.2053837
MLS Listing,,Single Family Residential,34 ALLEN St,Lexington,MA,02421,2395000,5,5.5,Lexington,7057,33485,2005,19,339,,Active,,,http://www.redfin.com/MA/Lexington/34-Allen-St-02421/home/8548111,MLS PIN,72315583,N,Y,42.4264185,-71.2262135
MLS Listing,,Single Family Residential,870 Massachusetts Ave,Lexington,MA,02420,1099000,4,2.5,Lexington,2676,8580,1840,19,411,,Active,,,http://www.redfin.com/MA/Lexington/870-Massachusetts-Ave-02420/home/8549953,MLS PIN,72315519,N,Y,42.4315059,-71.2081835
MLS Listing,,Single Family Residential,24 Rumford Rd,Lexington,MA,02420,2399000,5,2.5,Lexington,4700,30928,2008,20,510,,Active,,,http://www.redfin.com/MA/Lexington/24-Rumford-Rd-02420/home/8568662,MLS PIN,72315262,N,Y,42.4522315,-71.2034729
MLS Listing,,Single Family Residential,6 Melrose Ave,Lexington,MA,02420,819000,3,2.5,Lexington,2043,9583,1953,20,401,,Active,,,http://www.redfin.com/MA/Lexington/6-Melrose-Ave-02420/home/8548802,MLS PIN,72314704,N,Y,42.4298805,-71.193564
MLS Listing,,Single Family Residential,182 Waltham St,Lexington,MA,02421,1350000,8,3,Lexington,3763,12243,1880,21,359,,Active,,,http://www.redfin.com/MA/Lexington/182-Waltham-St-02421/home/8560102,MLS PIN,72314048,N,Y,42.4440673,-71.2289284
MLS Listing,,Single Family Residential,6 Douglas Rd,Lexington,MA,02420,1749000,5,4,Lexington,5312,32234,2001,26,329,,Active,,,http://www.redfin.com/MA/Lexington/6-Douglas-Rd-02420/home/8573488,MLS PIN,72312127,N,Y,42.4587576,-71.2014076
MLS Listing,,Single Family Residential,5 Stage Coach Rd,Lexington,MA,02421,2295000,6,5,Lexington,5454,30136,2017,34,421,,Active,,,http://www.redfin.com/MA/Lexington/5-Stage-Coach-Rd-02421/home/110073883,MLS PIN,72307118,N,Y,42.4094181,-71.2204589
MLS Listing,,Single Family Residential,37 Fairbanks Rd,Lexington,MA,02421,2390000,5,4.5,Lexington,6440,19950,2010,40,371,,Active,,,http://www.redfin.com/MA/Lexington/37-Fairbanks-Rd-02421/home/8552267,MLS PIN,72304425,N,Y,42.4317817,-71.2460757
MLS Listing,,Single Family Residential,10 Willard Cir,Lexington,MA,02421,2195000,5,5,Lexington,4935,15937,2018,40,445,8,Active,,,http://www.redfin.com/MA/Lexington/10-Willard-Cir-02421/home/110073891,MLS PIN,72304395,N,Y,42.4331494,-71.2498409
MLS Listing,,Single Family Residential,17 Colony Rd,Lexington,MA,02420,1749000,5,6.5,Merriam Hill,5246,32178,1931,40,333,,Active,,,http://www.redfin.com/MA/Lexington/17-Colony-Rd-02420/home/8575160,MLS PIN,72304085,N,Y,42.4552196,-71.2188114
MLS Listing,,Single Family Residential,8 Abernathy Rd,Lexington,MA,02420,1595000,6,3.5,Lexington,5593,32234,1964,40,285,,Active,May-19-2018 01:00 PM,May-19-2018 03:00 PM,http://www.redfin.com/MA/Lexington/8-Abernathy-Rd-02420/home/8554172,MLS PIN,72303779,N,Y,42.4384439,-71.2077659
MLS Listing,,Single Family Residential,5 Birch Hill Ln,Lexington,MA,02421,1199900,6,3.5,Lexington,3817,31307,1971,42,314,,Active,,,http://www.redfin.com/MA/Lexington/5-Birch-Hill-Ln-02421/home/8557226,MLS PIN,72302317,N,Y,42.4384663,-71.2558904
MLS Listing,,Single Family Residential,8 Bird Hill Rd,Lexington,MA,02421,2095000,4,3,Six Moon Hill,4027,18985,2006,42,520,55,Active,,,http://www.redfin.com/MA/Lexington/8-Bird-Hill-Rd-02421/home/8547192,MLS PIN,72301790,N,Y,42.4238023,-71.2124069
MLS Listing,,Townhouse,154 Bedford St #2,Lexington,MA,02420,669900,3,1.5,Lexington,1373,,1903,43,488,200,Active,,,http://www.redfin.com/MA/Lexington/154-Bedford-St-02420/unit-2/home/8588088,MLS PIN,72300995,N,Y,42.4576531,-71.2371015
MLS Listing,,Single Family Residential,46 BRIDGE St,Lexington,MA,02421,889000,3,2,Lexington,2266,9368,1954,43,392,,Active,,,http://www.redfin.com/MA/Lexington/46-Bridge-St-02421/home/8555777,MLS PIN,72300791,N,Y,42.4342103,-71.2383955
MLS Listing,,Single Family Residential,14 Percy Rd,Lexington,MA,02421,2495000,6,3.5,Lexington,6282,32066,1894,54,397,,Active,,,http://www.redfin.com/MA/Lexington/14-Percy-Rd-02421/home/8559986,MLS PIN,72297209,N,Y,42.4413579,-71.2185097
MLS Listing,,Single Family Residential,11 Fairbanks Rd,Lexington,MA,02421,2388000,5,5,Lexington,5900,15700,2018,64,405,,Active,,,http://www.redfin.com/MA/Lexington/11-Fairbanks-Rd-02421/home/8552314,MLS PIN,72292209,N,Y,42.431339,-71.2503682
MLS Listing,,Single Family Residential,67 Farmcrest Ave,Lexington,MA,02421,699000,3,1,Lexington,1389,6250,1919,75,503,,Active,,,http://www.redfin.com/MA/Lexington/67-Farmcrest-Ave-02421/home/8555307,MLS PIN,72287500,N,Y,42.433043,-71.2301814
MLS Listing,,Single Family Residential,11 Pelham Rd,Lexington,MA,02421,4799000,17,8,Munroe Hill,9000,52792,1906,124,533,,Active,,,http://www.redfin.com/MA/Lexington/11-Pelham-Rd-02421/home/144670261,MLS PIN,72269826,N,Y,42.4389215,-71.2168392
MLS Listing,,Single Family Residential,12 Cart Path Ln,Lexington,MA,02421,2395000,6,5,Lexington,5561,30723,2017,252,431,,Active,,,http://www.redfin.com/MA/Lexington/12-Cart-Path-Ln-02421/home/110073911,MLS PIN,72222761,N,Y,42.4101744,-71.2219672
MLS Listing,,Single Family Residential,8 ADAMS St,Lexington,MA,02420,2875000,7,4.5,MERRIAM HILL,5588,60928,1902,312,514,,Active,,,http://www.redfin.com/MA/Lexington/8-Adams-St-02420/home/8575201,MLS PIN,72194051,N,Y,42.4572136,-71.2273041
MLS Listing,,Single Family Residential,29 Hayes Ln,Lexington,MA,02420,2898000,5,6.5,Lexington,7600,47424,2018,432,381,,Active,,,http://www.redfin.com/MA/Lexington/29-Hayes-Ln-02420/home/8565296,MLS PIN,72129241,N,Y,42.4493715,-71.2197975
MLS Listing,,Single Family Residential,17 Hayes Ave,Lexington,MA,02420,4750000,8,6.5,Merriam Hill,7910,23341,2003,439,601,,Active,,,http://www.redfin.com/MA/Lexington/17-Hayes-Ave-02420/home/11776325,MLS PIN,72125926,N,Y,42.4550964,-71.2253086
MLS Listing,,Single Family Residential,9 Woodland St,Belmont,MA,02478,824900,6,3,Belmont,2558,5000,1920,4,322,,Active,,,http://www.redfin.com/MA/Belmont/9-Woodland-St-02478/home/145629597,MLS PIN,72325308,N,Y,42.3903134,-71.1816549
MLS Listing,,Multi-Family (2-4 Unit),9 Woodland St,Belmont,MA,02478,824900,6,3,Belmont,2558,5000,1920,6,322,,Active,,,http://www.redfin.com/MA/Belmont/9-Woodland-St-02478/home/8443200,MLS PIN,72323270,N,Y,42.3903134,-71.1816549
MLS Listing,,Single Family Residential,34 Hamilton Rd,Belmont,MA,02478,899900,3,2,Belmont,1719,4500,1950,13,524,,Active,,,http://www.redfin.com/MA/Belmont/34-Hamilton-Rd-02478/home/8437447,MLS PIN,72318770,N,Y,42.3925718,-71.1593105
MLS Listing,,Multi-Family (2-4 Unit),145-147 Sycamore St,Belmont,MA,02478,949900,4,2,Belmont,2136,5111,1920,27,445,,Active,,,http://www.redfin.com/MA/Belmont/147-Sycamore-St-02478/home/8441903,MLS PIN,72311278,N,Y,42.385391,-71.19358
MLS Listing,,Single Family Residential,10 Ripley Rd,Belmont,MA,02478,869000,4,2,Belmont,2113,5979,1889,1,411,,Active,May-19-2018 12:00 PM,May-19-2018 02:00 PM,http://www.redfin.com/MA/Belmont/10-Ripley-Rd-02478/home/8432249,MLS PIN,72326780,N,Y,42.3820319,-71.1879481
MLS Listing,,Single Family Residential,329 Cross St,Belmont,MA,02478,949900,3,2.5,Winn Brook,1987,6340,1940,1,478,,Active,May-19-2018 01:00 PM,May-19-2018 03:00 PM,http://www.redfin.com/MA/Belmont/329-Cross-St-02478/home/8448609,MLS PIN,72326359,N,Y,42.4027497,-71.1604709
MLS Listing,,Condo/Co-op,71 Oxford Ave #4,Cambridge,MA,02138,479000,2,1,Strawberry Hill,831,,1940,1,576,300,Active,,,http://www.redfin.com/MA/Cambridge/71-Oxford-Ave-02138/unit-4/home/11604017,MLS PIN,72326249,N,Y,42.378087,-71.1552026
MLS Listing,,Multi-Family (2-4 Unit),31 PAYSON Rd,Belmont,MA,02478,1100000,4,2,Payson Park,2752,8307,1923,4,400,,Active,,,http://www.redfin.com/MA/Belmont/31-Payson-Rd-02478/home/8425274,MLS PIN,72325440,N,Y,42.3822887,-71.1739313
MLS Listing,,Single Family Residential,331 Common St,Belmont,MA,02478,979000,4,1.5,Cushing Square,2323,6057,1925,5,421,,Active,,,http://www.redfin.com/MA/Belmont/331-Common-St-02478/home/8433759,MLS PIN,72324878,N,Y,42.3853987,-71.1754165
MLS Listing,,Single Family Residential,18 Franklin St,Belmont,MA,02478,1049000,3,2,Belmont Center,2100,7494,1925,5,500,,Active,,,http://www.redfin.com/MA/Belmont/18-Franklin-St-02478/home/8433193,MLS PIN,72324509,N,Y,42.3890877,-71.1776908
MLS Listing,,Single Family Residential,23 Taylor Rd,Belmont,MA,02478,849000,3,2,Belmont,1336,7995,1940,6,635,,Active,,,http://www.redfin.com/MA/Belmont/23-Taylor-Rd-02478/home/8436416,MLS PIN,72324011,N,Y,42.3897902,-71.1601924
MLS Listing,,Single Family Residential,80 Clark St,Belmont,MA,02478,1185000,4,2.5,Belmont,2624,11444,1896,6,452,,Active,,,http://www.redfin.com/MA/Belmont/80-Clark-St-02478/home/8439490,MLS PIN,72323825,N,Y,42.3932981,-71.1786655
MLS Listing,,Single Family Residential,27 DORSET Rd,Belmont,MA,02478,899000,4,2,Belmont,1714,13337,1937,6,525,,Active,,,http://www.redfin.com/MA/Belmont/27-Dorset-Rd-02478/home/8453748,MLS PIN,72323729,N,Y,42.4104728,-71.1827963
MLS Listing,,Single Family Residential,10 Barbara Rd,Belmont,MA,02478,1295000,3,2.5,Belmont,2780,7735,1932,6,466,,Active,,,http://www.redfin.com/MA/Belmont/10-Barbara-Rd-02478/home/8452083,MLS PIN,72323576,N,Y,42.4021963,-71.1711928
MLS Listing,,Single Family Residential,21 Van Ness Rd,Belmont,MA,02478,1100000,4,3.5,Payson Estates,2289,5491,1924,6,481,,Active,,,http://www.redfin.com/MA/Belmont/21-Van-Ness-Rd-02478/home/8422702,MLS PIN,72323450,N,Y,42.3779458,-71.165623
MLS Listing,,Single Family Residential,14 Sabina Way,Belmont,MA,02478,1000000,3,3,Belmont,1630,4605,1957,9,613,,Active,,,http://www.redfin.com/MA/Belmont/14-Sabina-Way-02478/home/8430940,MLS PIN,72321851,N,Y,42.3860538,-71.1816824
MLS Listing,,Single Family Residential,240 Washington St,Belmont,MA,02478,1400000,4,2.5,Belmont,3169,8250,1928,13,442,,Active,,,http://www.redfin.com/MA/Belmont/240-Washington-St-02478/home/11374859,MLS PIN,72319328,N,Y,42.3863918,-71.1639985
MLS Listing,,Multi-Family (2-4 Unit),33 PAYSON Rd,Belmont,MA,02478,1100000,4,2,Payson Park,2712,8336,1923,18,406,,Active,,,http://www.redfin.com/MA/Belmont/33-Payson-Rd-02478/home/8425279,MLS PIN,72316482,N,Y,42.3823539,-71.1737688
MLS Listing,,Single Family Residential,404 COMMON St,Belmont,MA,02478,1475000,6,4,Belmont,3175,12237,1930,20,465,,Active,,,http://www.redfin.com/MA/Belmont/404-Common-St-02478/home/8425228,MLS PIN,72314886,N,Y,42.3828782,-71.1749988
MLS Listing,,Single Family Residential,265 Marsh St,Belmont,MA,02478,3500000,5,5.5,Belmont Hill,6455,49020,2013,20,542,,Active,,,http://www.redfin.com/MA/Belmont/265-Marsh-St-02478/home/8456699,MLS PIN,72314815,N,Y,42.407378,-71.192943
MLS Listing,,Multi-Family (2-4 Unit),5-7 Trapelo Rd,Belmont,MA,02478,1150000,6,2,Belmont,3236,5819,1949,22,355,,Active,,,http://www.redfin.com/MA/Belmont/7-Trapelo-Rd-02478/home/101794578,MLS PIN,72313556,N,Y,42.3784292,-71.1702181
